duration_samples,duration_time,mean_velocity,std_velocity,mean_acceleration,mean_jerk,blink_count,blink_rate,participant_id,trial_number,condition,trial_type,file_path,gaze_entropy
2,48.035683,7.697001696167111,7.697001696167111,7.697001696167111,7.697001696167111,0,0.0,071,2,Unknown,first,first trials/071_2.csv,4.511683276290814
40800,255.782511,1.5997492359345216,1.1070228821393582,3.7350439936643606e-05,-1.96105400956865e-06,0,0.0,034,2,Unknown,first,first trials/034_2.csv,4.435315415310533
40796,261.972179,1.6569270352094265,1.1002742955189688,0.0002012662942029586,4.141967257250102e-05,532,0.013040494166094716,036,0,Unknown,first,first trials/036_0.csv,2.956439459011152
40796,261.972179,1.6569270352094265,1.1002742955189688,0.0002012662942029586,4.141967257250102e-05,532,0.013040494166094716,036,0,Unknown,first,first trials/036_0.csv,5.116004755194266
40800,256.200517,1.9552032358503746,1.1887291649368097,3.505120605421757e-05,2.2022931300556906e-05,0,0.0,009,2,Unknown,first,first trials/009_2.csv,4.5629585067656215
40800,256.200517,1.9552032358503746,1.1887291649368097,3.505120605421757e-05,2.2022931300556906e-05,0,0.0,009,2,Unknown,first,first trials/009_2.csv,4.302137066911282
24342,213.151702,2.1713214061075368,1.4443881453513687,8.745531250511031e-05,7.485027002349509e-05,0,0.0,009,3,Unknown,first,first trials/009_3.csv,5.078831597370166
24342,213.151702,2.1713214061075368,1.4443881453513687,8.745531250511031e-05,7.485027002349509e-05,0,0.0,009,3,Unknown,first,first trials/009_3.csv,4.453926605187293
33920,212.987324,1.751133199981235,1.098890145172715,7.878489172269701e-05,-2.812793280191548e-05,471,0.01388561320754717,036,1,Unknown,first,first trials/036_1.csv,5.270091135141337
33920,212.987324,1.751133199981235,1.098890145172715,7.878489172269701e-05,-2.812793280191548e-05,471,0.01388561320754717,036,1,Unknown,first,first trials/036_1.csv,5.291772681487136
33920,214.801615,2.019151140181118,1.1743349078561094,5.6860326250063716e-05,-1.1064657302390495e-05,0,0.0,071,3,Unknown,first,first trials/071_3.csv,4.8597177386196
33920,214.801615,2.019151140181118,1.1743349078561094,5.6860326250063716e-05,-1.1064657302390495e-05,0,0.0,071,3,Unknown,first,first trials/071_3.csv,5.198118618228115
40800,256.3048,2.0810658141762786,1.1948119818855834,0.00010140338735306324,3.41129668393497e-05,389,0.009534313725490197,057,0,Unknown,first,first trials/057_0.csv,4.84726027737314
40800,256.3048,2.0810658141762786,1.1948119818855834,0.00010140338735306324,3.41129668393497e-05,389,0.009534313725490197,057,0,Unknown,first,first trials/057_0.csv,4.272853732343122
33920,212.912772,1.7437967053321863,0.9939224561550284,7.592345878969251e-05,-9.191185928354324e-06,32,0.0009433962264150943,050,1,Unknown,first,first trials/050_1.csv,5.172341720910066
33920,212.513356,1.9538042575552725,1.4234243431441715,2.2650613545318116e-05,-9.532807740070627e-06,553,0.01630306603773585,015,1,Unknown,first,first trials/015_1.csv,5.459832953332466
40800,255.676391,2.2179799998466754,1.3672335959534905,6.946872581074464e-05,3.116087324048391e-05,813,0.019926470588235295,033,2,Unknown,first,first trials/033_2.csv,4.748273422400519
