duration_samples,duration_time,mean_velocity,std_velocity,mean_acceleration,mean_jerk,blink_count,blink_rate,participant_id,trial_number,condition,trial_type,file_path,gaze_entropy,fixation_ratio,rolling_entropy_std,rolling_blink_std
40800,256.08519,1.7329991783156562,1.098797043252852,6.760705989682489e-06,-1.1721142544451308e-05,539,0.0132107843137254,36,2,Unknown,first,first trials/036_2.csv,4.9157629573340245,0.0,0.39944749751944103,0.00667827065095184
40800,256.08519,1.7329991783156562,1.098797043252852,6.760705989682489e-06,-1.1721142544451308e-05,539,0.0132107843137254,36,2,Unknown,first,first trials/036_2.csv,5.164710091987869,0.0,0.39944749751944103,0.00667827065095184
33920,213.430054,2.8659807407222115,2.054597724373142,3.328473292062297e-05,-4.559018287062095e-05,358,0.0105542452830188,57,3,Unknown,first,first trials/057_3.csv,4.7572442808328725,0.0,0.5463533670819024,0.005483552861934282
40800,256.052874,1.5873163411810562,0.9628383173280164,5.561808907230927e-05,9.080455056190652e-06,0,0.0,71,0,Unknown,first,first trials/071_0.csv,4.247728266277249,0.0,0.6456137354209587,0.0
40800,256.052874,1.5873163411810562,0.9628383173280164,5.561808907230927e-05,9.080455056190652e-06,0,0.0,71,0,Unknown,first,first trials/071_0.csv,3.679423054860554,0.0,0.6456137354209587,0.0
33920,212.91239,2.4891185526039634,1.4349829559937863,5.794857556909458e-05,2.077122320680153e-05,355,0.0104658018867924,57,1,Unknown,first,first trials/057_1.csv,5.553177992469927,0.0,0.39627279820191036,0.0050924058337342825
33920,212.91239,2.4891185526039634,1.4349829559937863,5.794857556909458e-05,2.077122320680153e-05,355,0.0104658018867924,57,1,Unknown,first,first trials/057_1.csv,5.303428515999315,0.0,0.39627279820191036,0.0050924058337342825
2,48.035683,7.697001696167111,7.697001696167111,7.697001696167111,7.697001696167111,0,0.0,71,2,Unknown,first,first trials/071_2.csv,1.0,0.0,,
2,48.035683,7.697001696167111,7.697001696167111,7.697001696167111,7.697001696167111,0,0.0,71,2,Unknown,first,first trials/071_2.csv,4.511683276290814,0.0,,
40800,255.782511,1.5997492359345216,1.1070228821393582,3.7350439936643606e-05,-1.96105400956865e-06,0,0.0,34,2,Unknown,first,first trials/034_2.csv,4.435315415310533,0.0,0.5909875785444881,0.0
40796,261.972179,1.6569270352094263,1.1002742955189688,0.0002012662942029,4.141967257250102e-05,532,0.0130404941660947,36,0,Unknown,first,first trials/036_0.csv,2.956439459011152,0.0,0.5479752251663846,0.006957269364675376
40796,261.972179,1.6569270352094263,1.1002742955189688,0.0002012662942029,4.141967257250102e-05,532,0.0130404941660947,36,0,Unknown,first,first trials/036_0.csv,5.116004755194266,0.0,0.5479752251663846,0.006957269364675376
40800,256.200517,1.9552032358503744,1.1887291649368097,3.505120605421757e-05,2.2022931300556906e-05,0,0.0,9,2,Unknown,first,first trials/009_2.csv,4.5629585067656215,0.0,0.3770163317807875,0.0
40800,256.200517,1.9552032358503744,1.1887291649368097,3.505120605421757e-05,2.2022931300556906e-05,0,0.0,9,2,Unknown,first,first trials/009_2.csv,4.302137066911282,0.0,0.3770163317807875,0.0
24342,213.151702,2.1713214061075368,1.4443881453513687,8.745531250511031e-05,7.485027002349509e-05,0,0.0,9,3,Unknown,first,first trials/009_3.csv,5.078831597370166,0.0,0.4085813851246651,0.0
24342,213.151702,2.1713214061075368,1.4443881453513687,8.745531250511031e-05,7.485027002349509e-05,0,0.0,9,3,Unknown,first,first trials/009_3.csv,4.453926605187293,0.0,0.4085813851246651,0.0
33920,212.987324,1.751133199981235,1.098890145172715,7.878489172269701e-05,-2.812793280191548e-05,471,0.0138856132075471,36,1,Unknown,first,first trials/036_1.csv,5.270091135141337,0.0,0.5551933442335009,0.006820732632520467
33920,212.987324,1.751133199981235,1.098890145172715,7.878489172269701e-05,-2.812793280191548e-05,471,0.0138856132075471,36,1,Unknown,first,first trials/036_1.csv,5.291772681487136,0.0,0.5551933442335009,0.006820732632520467
33920,214.801615,2.019151140181118,1.1743349078561094,5.686032625006372e-05,-1.1064657302390496e-05,0,0.0,71,3,Unknown,first,first trials/071_3.csv,4.8597177386196,0.0,0.35980664266235757,0.0
33920,214.801615,2.019151140181118,1.1743349078561094,5.686032625006372e-05,-1.1064657302390496e-05,0,0.0,71,3,Unknown,first,first trials/071_3.csv,5.198118618228115,0.0,0.35980664266235757,0.0
40800,256.3048,2.0810658141762786,1.1948119818855834,0.000101403387353,3.41129668393497e-05,389,0.0095343137254901,57,0,Unknown,first,first trials/057_0.csv,4.84726027737314,0.0,0.4267204549040316,0.00574391257125981
40800,256.3048,2.0810658141762786,1.1948119818855834,0.000101403387353,3.41129668393497e-05,389,0.0095343137254901,57,0,Unknown,first,first trials/057_0.csv,4.272853732343122,0.0,0.4267204549040316,0.00574391257125981
33920,212.912772,1.7437967053321863,0.9939224561550284,7.592345878969251e-05,-9.191185928354324e-06,32,0.000943396226415,50,1,Unknown,first,first trials/050_1.csv,5.172341720910066,0.0,0.4616627804283621,0.001731641312264209
33920,212.513356,1.9538042575552723,1.4234243431441715,2.265061354531812e-05,-9.532807740070628e-06,553,0.0163030660377358,15,1,Unknown,first,first trials/015_1.csv,5.459832953332466,0.0,0.7343539651713641,0.0071142223508619575
40800,255.676391,2.217979999846676,1.3672335959534905,6.946872581074464e-05,3.116087324048391e-05,813,0.0199264705882352,33,2,Unknown,first,first trials/033_2.csv,4.748273422400519,0.0,0.34894457336726953,0.009193544583170492
33920,212.030933,1.7003898455666009,1.3566301460429242,4.842591977555361e-05,2.90482294173623e-05,1080,0.0318396226415094,17,3,Unknown,first,first trials/017_3.csv,5.222804144685466,0.0,0.7279658723228254,0.010660931838685323
33920,213.06181,1.7966779185896753,1.35387204001564,6.569109034364471e-06,3.78291710099796e-06,427,0.0125884433962264,52,3,Unknown,first,first trials/052_3.csv,4.842069766681055,0.0,0.9532729057634283,0.006360746653424686
40800,255.985995,1.937744258539918,1.2451777846371768,4.612728609277389e-05,-1.837852150664676e-05,451,0.0110539215686274,31,0,Unknown,first,first trials/031_0.csv,4.250711785985692,0.0,0.6641315630558615,0.006558054439914678
40800,256.331403,1.6173167474649617,0.9756137412276656,5.128258240386591e-05,1.673201557181317e-05,668,0.0163725490196078,49,0,Unknown,first,first trials/049_0.csv,4.5856254285662565,0.0,0.44813141542332247,0.007249510544841305
40800,256.331403,1.6173167474649617,0.9756137412276656,5.128258240386591e-05,1.673201557181317e-05,668,0.0163725490196078,49,0,Unknown,first,first trials/049_0.csv,4.745396613254503,0.0,0.44813141542332247,0.007249510544841305
33920,212.52759,1.7785396205081925,1.1141680701643517,7.255797616470906e-05,4.333399330083109e-06,664,0.0195754716981132,28,1,Unknown,first,first trials/028_1.csv,4.850764663483592,0.0,0.5550454003462012,0.00763128611058703
40800,255.862139,1.7072311998694432,1.0746161103171783,6.8193112555766e-05,2.362168569457739e-05,767,0.0187990196078431,28,0,Unknown,first,first trials/028_0.csv,4.22900310444059,0.0,0.581212930551161,0.007153423499560219
